LON,LAT,DATASET,count_same
85.92,20.42,CH4,19
111.45,28.92,CH4,9
92.94,26.2,CH4,2
104.57,30.08,CH4,6
116.36,40.01,CH4,4
121.26,14.16,CH4,24
92.83,26.68,CH4,5
115.74,30.01,CH4,6
101.52,13.97,CH4,17
105.54,-5.03,CH4,22
105.65,-5.54,CH4,2
104.81,-5.33,CH4,2
105.48,-5.58,CH4,2
115.33,-8.53,CH4,8
115.13,-8.54,CH4,4
88.67,22.3,CH4,18
111.17,-6.76,CH4,36
110.718,32.12,N2O,33
115.15,28.517,N2O,12
111.867,26.75,N2O,2
113.331,28.551,N2O,63
120.12,30.26,N2O,6
120.16,30.13,N2O,9
121.363,29.793,N2O,12
113.617,28.15,N2O,30
112.3,28.117,N2O,52
119.95,30.083,N2O,4
118.833,31.867,N2O,2
119.683,31.4,N2O,6
112.15,30.35,N2O,15
116.917,28.25,N2O,150
105.467,31.267,N2O,6
119.05,26.017,N2O,12
120.962,31.254,N2O,3
120.48,31.446,N2O,16
117.067,32.86,N2O,6
119.643,25.996,N2O,4
113.2,28.133,N2O,6
116.333,28.25,N2O,6
119.967,31.633,N2O,9
104.567,30.083,N2O,6
126.8,45.817,N2O,25
106.19,29.064,N2O,6
115.068,26.746,N2O,7
123.75,45.333,N2O,12
108.294,22.883,N2O,30
121.783,31.217,N2O,8
119.3,26.1,N2O,11
115.073,29.936,N2O,1
114.092,30.361,N2O,1
113.08,28.199,N2O,10
111.5,28.917,N2O,40
112.8,28.617,N2O,4
112.102,30.383,N2O,18
127.667,46.95,N2O,8
133.517,47.583,N2O,1
105.45,31.267,N2O,1
128.82,45.85,N2O,3
113.167,35.067,N2O,2
125.733,45.63,N2O,2
111.45,28.917,N2O,20
121.383,30.883,N2O,6
106.193,38.124,N2O,4
124.832,45.147,N2O,3
124.718,45.005,N2O,6
124.708,45.001,N2O,6
115.55,34.567,N2O,7
126.633,47.433,N2O,2
113.204,28.139,N2O,12
112.817,28.366,N2O,8
118.8,32.0,N2O,1
113.183,28.133,N2O,16
120.183,33.45,N2O,1
113.49,28.18,N2O,10
119.3,31.967,N2O,4
113.2,28.138,N2O,4
115.5,29.917,N2O,8
113.201,28.142,N2O,2
127.561,46.954,N2O,4
109.934,19.949,N2O,8
120.7,31.55,N2O,1
120.617,31.55,N2O,1
116.994,31.534,N2O,4
112.917,29.867,N2O,2
120.964,31.265,N2O,3
113.331,28.546,N2O,14
116.091,28.336,N2O,18
114.37,30.48,N2O,16
120.512,42.15,N2O,2
110.717,32.117,N2O,1
113.333,23.133,N2O,19
123.117,41.867,N2O,6
123.8,42.233,N2O,4
128.812,45.829,N2O,1
116.917,28.342,N2O,8
116.0,28.441,N2O,24
111.66,29.98,N2O,2
113.75,30.083,N2O,8
112.767,30.883,N2O,3
119.391,34.551,N2O,6
112.763,28.974,N2O,4
119.75,30.417,N2O,6
112.4,29.15,N2O,2
133.31,47.35,N2O,5
120.5,30.717,N2O,4
123.1167,41.8667,N2O,10
106.6644,26.4969,N2O,4
108.2941,22.8829,N2O,16
127.6792,46.9578,N2O,4
119.7,32.5847,N2O,6
115.7241,30.0069,N2O,3
119.42,32.5,N2O,8
115.57,30.167,N2O,24
111.5333,29.2833,N2O,3
119.2,32.1,N2O,1
103.83,30.13,N2O,3
112.52,30.2,N2O,1
105.47,31.27,N2O,4
120.5,31.5,N2O,6
119.82,31.36,N2O,6
119.3,31.97,N2O,12
119.25,32.3,N2O,4
120.7078,31.5592,N2O,30
112.805,30.8936,N2O,4
119.6239,26.2925,N2O,4
118.8333,31.8667,N2O,13
120.6167,31.55,N2O,9
115.5,29.92,N2O,6
120.7078,31.56,N2O,2
119.9167,30.08,N2O,11
112.55,28.27,N2O,8
120.95,31.25,N2O,6
118.9833,31.95,N2O,6
118.8333,31.87,N2O,11
120.9619,31.25,N2O,2
120.4667,31.62,N2O,2
121.1333,31.2,N2O,8
119.6833,31.4,N2O,4
121.62,31.61,N2O,3
123.35,42.08,N2O,2
106.2953,38.12,N2O,6
115.45,31.05,N2O,4
105.45,31.27,N2O,8
114.3558,30.47,N2O,2
121.3833,30.88,N2O,27
112.08,30.36,N2O,6
112.4,32.1,N2O,8
125.8833,43.7333,N2O,2
106.45,38.2,N2O,1
105.45,31.2667,N2O,4
112.6,27.9667,N2O,34
119.1667,34.6,N2O,8
120.9619,31.2542,N2O,4
115.55,29.85,N2O,4
115.5,29.9167,N2O,4
119.9,31.2667,N2O,1
112.73,31.98,N2O,1
105.4667,31.2667,N2O,15
119.3,31.9667,N2O,1
113.3333,23.1333,N2O,7
120.55,31.5,N2O,6
120.5,31.3,N2O,6
-121.81,38.54,N2O,2
-121.54,39.22,N2O,2
-121.74,39.46,N2O,2
77.2,28.233333,N2O,2
90.375,23.988889,N2O,18
85.91666667,20.41666667,N2O,5
128.4333333,36.83333333,N2O,13
111.8666667,26.75,N2O,8
-120.0713889,39.01333333,N2O,10
105.8483333,20.93333333,N2O,8
85.94211111,20.45206944,N2O,2
-121.7263889,39.46305556,N2O,12
77.2,28.66666667,N2O,18
8.716666667,45.06666667,N2O,2
99.5,13.58333333,N2O,8
121.267,14.148,N2O,6
128.1183333,35.10916667,N2O,8
140.473,36.366,N2O,4
128.1166667,35.1,N2O,8
-8.737616667,39.03669167,N2O,2
85.93611111,20.45305556,N2O,2
11.48211389,44.69225278,N2O,2
100.605475,14.36521944,N2O,3
-5.666666667,39.1,N2O,1
-91.46,34.46,N2O,4
132.7833333,33.95,N2O,14
120.707,15.59236111,N2O,6
120.6255,15.7145,N2O,4
-89.99722222,35.81472222,N2O,3
79.5,11.0,N2O,28
-0.038377778,41.75885278,N2O,4
-0.3771,41.958325,N2O,1
-51.1,-29.95,N2O,3
110.1666667,-6.75,N2O,4
121.2597222,14.1625,N2O,32
107.5166667,16.46666667,N2O,40
140.15,36.2,N2O,2
-121.73,38.9,N2O,5
-121.7,39.01,N2O,5
-91.4,34.45,N2O,4
49.64383333,37.20477778,N2O,4
75.83333333,30.78333333,N2O,2
77.03333333,28.66666667,N2O,1
105.3333333,10.46666667,N2O,12
105.45,10.4,N2O,8
105.1166667,10.25,N2O,12
106.0,21.33333333,N2O,8
85.93333333,20.4494,N2O,5
-51.1,-29.9,N2O,4
85.93277778,20.45333333,N2O,8
128.0961861,35.14909167,N2O,3
92.81666667,26.68333333,N2O,16
90.4,24.75,N2O,4
85.93333333,20.45,N2O,5
126.9833333,37.25,N2O,6
127.55,34.93333333,N2O,3
-121.6542,38.1053,N2O,2
-121.7263889,38.1053,N2O,7
76.92111111,29.80972222,N2O,2
-1.294,6.6237,N2O,1
-54.38333333,-33.23333333,N2O,6
-53.72183333,-29.71666667,N2O,8
140.5,39.48333333,N2O,8
85.916667,20.416667,N2O,17
139.416,35.975,N2O,4
85.935833,20.452778,N2O,4
-0.632222,40.708333,N2O,3
-0.038333,41.758889,N2O,4
106.354233,21.004967,N2O,28
121.259722,14.1625,N2O,11
127.0422,45.82525,N2O,3
140.12,36.074,N2O,3
141.416667,43.016667,N2O,12
86.566667,20.733333,N2O,24
128.433333,36.833333,N2O,3
104.57,30.08,N2O,6
115.07,26.75,N2O,7
116.36,40.01,N2O,4
121.26,14.16,N2O,22
88.67,22.3,N2O,18
104.583333,30.105556,NH3,6
113.215285,28.142404,NH3,18
116.0,28.433333,NH3,6
100.063222,26.032417,NH3,6
113.85073,28.28687,NH3,12
120.1,31.516667,NH3,9
120.633333,31.55,NH3,6
108.27,23.17,NH3,12
119.8885917,31.33532192,NH3,6
117.766667,31.65,NH3,6
115.906944,23.353889,NH3,12
120.411667,30.44,NH3,12
119.4077658,32.3968554,NH3,20
106.266667,38.133333,NH3,5
117.034423,28.2741176,NH3,3
114.33,30.5,NH3,3
111.55,28.916667,NH3,12
120.699167,31.545833,NH3,101
111.87,26.76,NH3,14
120.707778,31.559167,NH3,74
123.4,41.516667,NH3,12
115.55,29.95,NH3,4
100.063333,26.0325,NH3,6
115.55,29.85,NH3,35
111.5,28.916667,NH3,36
111.866667,26.75,NH3,16
121.4,31.383333,NH3,3
115.5,29.916667,NH3,8
120.666667,30.833333,NH3,26
120.3,30.5,NH3,12
123.366667,43.516667,NH3,5
120.466667,31.616667,NH3,6
103.734358,30.950275,NH3,7
120.416944,30.434444,NH3,9
120.406389,30.435278,NH3,7
117.150747,36.154183,NH3,14
120.2,30.266667,NH3,4
119.16,31.95,NH3,10
113.63,28.16,NH3,10
120.821725,30.802847,NH3,3
115.133333,28.266667,NH3,24
111.85,26.59,NH3,3
104.577778,30.111111,NH3,5
119.2,32.1,NH3,12
117.866667,32.55,NH3,10
119.476667,29.021944,NH3,2
116.233333,30.016667,NH3,18
112.0475,30.362222,NH3,15
109.5697188,19.5173795,NH3,4
115.5562861,29.847035,NH3,12
113.816667,28.316667,NH3,54
121.116667,31.2,NH3,4
100.174167,25.892778,NH3,7
115.616667,29.983333,NH3,6
115.583333,30.116667,NH3,6
120.961944,31.254167,NH3,6
121.133333,31.883333,NH3,1
120.41,31.32,NH3,14
118.983333,31.95,NH3,8
118.833333,31.866667,NH3,4
112.3905651,29.3644727,NH3,10
113.55,29.55,NH3,14
114.383333,28.5,NH3,12
123.183333,42.416667,NH3,3
114.083333,23.016667,NH3,2
112.2349334,30.3381115,NH3,6
119.3,31.966667,NH3,5
112.933333,28.916667,NH3,12
104.577778,30.102778,NH3,5
121.827778,31.024444,NH3,11
119.133333,31.066667,NH3,12
119.9,31.266667,NH3,7
120.8,31.2,NH3,3
119.883333,30.35,NH3,4
121.089444,31.255833,NH3,4
118.7915619,32.0615513,NH3,3
118.833333,31.8,NH3,12
112.306944,30.718056,NH3,10
119.466667,32.533333,NH3,8
119.9861,31.4765,NH3,9
77.2,28.666667,NH3,16
100.133333,14.466667,NH3,2
79.416667,28.966667,NH3,18
121.416667,14.433333,NH3,6
-90.915,33.423889,NH3,2
-97.362519,32.579031,NH3,2
105.583333,10.133333,NH3,2
120.8887,15.6747,NH3,21
-91.275556,33.760833,NH3,6
140.116667,36.016667,NH3,3
139.066667,36.2,NH3,8
90.429722,24.715278,NH3,12
90.375,23.988889,NH3,4
76.83333,29.66667,NH3,9
139.714222,35.736156,NH3,1
-94.1575,36.0625,NH3,2
-99.95306,49.84692,NH3,4
-99.95306,49.833333,NH3,4
88.67,22.32,NH3,10
149.116667,-35.283333,NH3,4
-63.166667,46.333333,NH3,6
120.68,31.53,NL,18
120.7,31.55,NL,22
115.5,29.92,NL,8
121.75,30.87,NL,4
120.305456,31.570037,NL,6
121.13,31.2,NL,8
119.943432,31.672903,NL,4
121.53,31.38,NL,2
120.831486,31.669446,NL,16
121.3,31.25,NL,5
120.0,31.6,NL,4
106.43,30.43,NL,15
111.25,30.83,NL,14
106.43,30.26,NL,16
119.790265,31.362245,NL,7
120.8,31.7,NL,4
112.3,28.6,NL,8
115.13,28.28,NL,18
106.28,38.12,NL,28
106.21,37.99,NL,2
121.091425,31.130862,NL,4
118.778074,32.057236,NL,10
121.487899,31.249162,NL,6
120.9,30.5,NL,1
113.721985,28.234472,NL,2
118.766667,31.9,NL,8
121.089444,31.255833,NL,4
106.193056,38.123889,NL,4
106.199167,38.125556,NL,5
121.133333,31.2,NL,5
120.699167,31.545833,NL,18
119.900333,31.2915,NL,7
80.1,43.083333,NL,2
120.961944,31.254167,NL,8
120.41,31.32,NL,6
112.15,30.35,NL,6
122.26,41.17,NL,2
113.817154,28.33417503,NL,12
113.816667,28.316667,NL,12
90.426389,24.719444,NL,8
140.25,38.85,NL,4
140.020278,36.004444,NL,3
90.24,24.03,NL,24
120.698,31.55,NO,18
103.8,30.67,NO,4
120.7,30.83,NO,2
120.05,31.116,NO,15
110.72,32.12,NO,37
90.429722,24.715278,NO,6
90.409167,23.990278,NO,6
-87.650278,34.750833,NO,5
120.491111,31.612778,NO,3
115.066667,26.733333,NO,2
118.833333,31.866667,NO,6
118.9,33.4084,NO,10
120.0,31.95,NO,4
120.31,31.57,NR,6
119.9,31.3,NR,21
120.7,31.55,NR,45
121.487899,31.249162,NR,6
113.2,28.2,NR,10
113.17,28.15,NR,6
120.831486,31.669446,NR,5
119.1,26.2,NR,12
121.1,31.2,NR,4
121.13,31.2,NR,13
119.9,31.29,NR,77
118.766667,31.9,NR,3
120.42,31.41,NR,10
113.82,28.32,NR,6
121.45,30.67,NR,4
119.3,32.0,NR,4
113.2,27.991667,NR,15
115.63,29.98,NR,5
115.6,30.12,NR,5
100.12,25.9,NR,3
121.3875,30.89,NR,12
120.961944,31.254167,NR,8
126.38,45.23,NR,6
120.41,31.32,NR,6
121.39,30.89,NR,4
123.73,45.45,NR,4
117.5,31.5,NR,6
113.283333,28.375,NR,16
113.36,28.12,NR,1
119.58,31.72,NR,2
112.47,29.43,NR,8
113.816667,28.316667,NR,12
119.68,30.68,NR,5
140.020278,36.004444,NR,3
112.3,28.1167,SOCSR,18
118.5414,37.5212,SOCSR,9
124.2333,43.3167,SOCSR,4
120.7,30.02,SOCSR,5
123.55,40.8,SOCSR,6
120.8333,30.8167,SOCSR,2
120.54,33.32,SOCSR,2
123.85,45.6,SOCSR,1
126.6,45.6667,SOCSR,3
106.4333,30.4333,SOCSR,2
