temp,pre
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.016666,1321.3
18.016666,1321.3
18.016666,1321.3
18.016666,1321.3
18.016666,1321.3
18.016666,1321.3
18.016666,1321.3
14.425,914.10004
14.425,914.10004
14.425,914.10004
18.1,1295.6998
18.1,1295.6998
23.066666,1874.7001
23.066666,1874.7001
23.066666,1874.7001
23.066666,1874.7001
22.991667,1926.2
22.991667,1926.2
22.991667,1926.2
22.991667,1926.2
22.991667,1926.2
22.991667,1926.2
22.991667,1926.2
22.991667,1926.2
23.441666,2103.0999
23.441666,2103.0999
23.441666,2103.0999
23.441666,2103.0999
23.441666,2103.0999
23.441666,2103.0999
23.441666,2103.0999
23.441666,2103.0999
23.5,1782.0001
23.5,1782.0001
23.5,1782.0001
18.1,1629.0
18.1,1629.0
18.099998,1661.0001
18.099998,1661.0001
18.033335,1433.6
17.883335,1400.7999
19.691668,1509.7
19.691668,1509.7
8.558333,669.35004
8.558333,669.35004
6.9249997,769.4001
6.9249997,769.4001
6.816667,614.6
6.816667,614.6
19.35,1786.3
19.35,1786.3
19.35,1786.3
19.35,1786.3
19.35,1786.3
19.35,1786.3
19.35,1786.3
19.35,1786.3
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
18.891666,2133.5002
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
19.291666,1948.5001
18.825,1271.2
18.825,1271.2
18.825,1271.2
18.825,1271.2
18.825,1271.2
18.825,1271.2
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.916666,1124.5
18.066668,1034.6
18.066668,1034.6
17.391668,929.8
17.391668,929.8
17.391668,929.8
17.391668,929.8
17.166666,1306.6
17.166666,1306.6
17.166666,1306.6
17.166666,1306.6
18.175,1264.3
17.724998,1231.4
17.724998,1231.4
17.883333,1171.3
17.883333,1171.3
18.1,1295.6998
18.1,1295.6998
18.1,1295.6998
18.1,1295.6998
18.1,1295.6998
18.1,1295.6998
18.1,1295.6998
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
18.025,1209.7
14.441667,864.60004
14.441667,864.60004
14.441667,864.60004
14.441667,864.60004
14.441667,864.60004
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
5.0333333,726.2
17.783335,1247.2999
17.783335,1247.2999
17.783335,1247.2999
17.783335,1247.2999
17.783335,1247.2999
17.800001,1652.9003
17.800001,1652.9003
17.800001,1652.9003
17.800001,1652.9003
17.800001,1652.9003
18.050001,1568.5
18.050001,1568.5
19.633333,1807.3999
19.633333,1807.3999
19.633333,1807.3999
19.633333,1807.3999
19.633333,1807.3999
19.633333,1807.3999
19.633333,1807.3999
19.633333,1807.3999
18.666666,1238.9
18.666666,1238.9
18.666666,1238.9
18.666666,1238.9
17.050001,1361.5
17.050001,1361.5
17.050001,1361.5
17.058334,1563.7001
18.666666,1238.9
18.666666,1238.9
18.2,1569.9
18.2,1569.9
18.2,1569.9
18.2,1569.9
3.8750007,648.9
3.8750007,648.9
3.008334,547.10004
3.008334,547.10004
3.175,650.6
3.175,650.6
17.183336,1109.7
17.183336,1109.7
17.241667,1733.3
17.241667,1733.3
17.241667,1733.3
17.241667,1733.3
17.341665,1466.6
17.341665,1466.6
17.341665,1466.6
17.341665,1466.6
17.191668,1386.0
17.191668,1386.0
17.191668,1386.0
17.191668,1386.0
17.308332,1359.7999
17.308332,1359.7999
17.308332,1359.7999
17.308332,1359.7999
17.308334,1750.4
17.308334,1750.4
17.308334,1750.4
17.308334,1750.4
15.541667,1368.4
15.541667,1368.4
23.291666,1162.0
23.291666,1162.0
23.291666,1162.0
23.291666,1162.0
23.291666,1162.0
23.291666,1162.0
23.291666,1162.0
23.291666,1162.0
22.724998,1234.1
22.724998,1234.1
22.724998,1234.1
22.724998,1234.1
22.724998,1234.1
22.724998,1234.1
22.724998,1234.1
22.724998,1234.1
19.208334,1451.7
19.208334,1451.7
19.84167,1682.6
19.84167,1682.6
19.84167,1682.6
19.84167,1682.6
3.1833332,610.99994
3.1833332,610.99994
